id,order_date,total_due,note,shipping_fee,VAT,discount,typeofdiscount,status,id_cus,reason_cancel,total_quantity,cus_name,phone,email,order_address
1,2022-03-17,115134,,47,34,81,,,37,,1,Pasquale,5792055467,pgurner0@ft.com,8 Aberg Point
2,2022-01-02,703799,,92,64,45,,,73,,2,Stesha,8358521200,ssugge1@photobucket.com,845 Prentice Court
3,2022-03-27,937678,,67,75,7,,,4,,3,Doloritas,5194094183,dcawt2@illinois.edu,9 Beilfuss Hill
4,2021-10-24,304269,,38,72,8,,,67,,4,Dolores,6830753872,dlainge3@admin.ch,481 Derek Road
5,2022-08-01,440046,,85,4,48,,,59,,5,Crista,5601300445,cjenno4@cbslocal.com,82 Mosinee Point
6,2022-02-10,365599,,42,47,49,,,17,,6,Perle,2356578129,psammons5@51.la,8 Summer Ridge Road
7,2022-04-13,43477,,46,95,39,,,55,,7,Orsola,3015914448,omccathay6@trellian.com,554 Delladonna Drive
8,2022-04-09,586130,,7,60,24,,,52,,8,Klarrisa,7576400218,kridges7@biglobe.ne.jp,0914 Dakota Avenue
9,2022-01-06,979220,,78,83,58,,,41,,9,Adaline,8729642175,akubicki8@webs.com,75542 Delaware Trail
10,2022-01-12,691606,,95,36,62,,,2,,10,Art,1536525413,abard9@taobao.com,93146 Eagle Crest Place
11,2022-05-17,573144,,21,11,91,,,34,,11,Brigit,8824484166,bflaga@cisco.com,0562 Waubesa Parkway
12,2022-07-20,50764,,12,94,51,,,35,,12,Carlie,0365465488,ctummonsb@51.la,02058 Monument Road
13,2021-09-14,663676,,12,91,39,,,54,,13,Amber,0682062197,astuddertc@i2i.jp,6 Farwell Lane
14,2021-11-30,871147,,56,57,38,,,99,,14,Alameda,5719691944,amathond@noaa.gov,2 Hallows Road
15,2022-05-06,536130,,80,10,76,,,72,,15,Rawley,6156332502,rmartynkae@google.com.au,861 2nd Terrace
16,2022-08-18,890903,,8,66,94,,,89,,16,Rosemarie,9417234544,rmiallf@nih.gov,00 Northland Crossing
17,2022-01-31,577070,,96,16,6,,,78,,17,Elizabet,8786661965,ejeffelsg@wikimedia.org,97 Mosinee Lane
18,2022-06-01,10500,,35,84,45,,,75,,18,Jakob,8969799699,jginnellh@taobao.com,10 Corry Street
19,2022-05-20,867828,,97,92,35,,,5,,19,Leda,4410529889,lgosforthi@baidu.com,1244 Ridge Oak Center
20,2021-11-17,873278,,69,30,32,,,61,,20,Mallissa,2048766927,mbouldenj@wordpress.com,5413 Macpherson Alley
21,2022-01-16,819076,,87,42,73,,,51,,21,Olva,4692805293,osweatmank@soundcloud.com,42312 Westerfield Way
22,2021-08-21,153651,,8,32,38,,,69,,22,Andree,4037106744,akruschovl@networkadvertising.org,0 Hanover Terrace
